GradeID,ShapeID,Grade,DefaultGrade,WeightMultiplier,ProNestDesignation
1,3,A992,1,1.0,
4,8,A307,0,1.0,
8,9,A992,1,1.0,
16,38,A36,0,1.0,
20,44,A36,1,1.0,
25,55,A36,0,1.0,
26,57,A572-50,1,1.0,
27,57,A36,0,1.0,
30,69,A307,0,1.0,
31,72,A53,0,1.0,
32,77,A36/50/992,1,1.0,
34,85,A36/50,1,1.0,
35,97,A36/50,1,1.0,
36,97,A572-50,0,1.0,
38,134,A36/50,1,1.0,
39,134,A572-50,0,1.0,
44,151,A36,1,1.0,
45,8,A449,0,1.0,
69,57,A588,0,1.0,
93,71,A36,1,1.0,
94,79,A588-50,0,1.0,
95,79,A572-50,0,1.0,
96,79,A36,1,1.0,
98,85,A572-50,0,1.0,
99,91,A36,0,1.0,
121,21,A108,1,1.0,
124,72,A307,0,1.0,
125,85,A529-50,0,1.0,
127,97,A529-50,0,1.0,
128,134,A529-50,0,1.0,
129,187,A325,1,1.0,
131,78,A307,1,1.0,
136,185,A500-GR.B,0,1.0,
137,187,A325N,0,1.0,
139,190,A500-GR.B,0,1.0,
148,69,A563-C,1,1.0,
154,69,GR-2,0,1.0,
155,69,GR-5,0,1.0,
156,69,GR-8,0,1.0,
157,8,F436,1,1.0,
158,8,F436-T3,0,1.0,
159,8,F844,0,1.0,
160,8,F959,0,1.0,
164,4,A108,0,1.0,
167,44,1018 (CR),0,1.0,
168,151,SS 304,0,1.0,
169,69,SS304,0,1.0,
170,8,SS 304,0,1.0,
171,130,.,1,1.0,
173,72,.,1,1.0,
174,186,A500-GR.B,0,1.0,
175,192,SS304,0,1.0,
176,192,SS 316,0,1.0,
177,193,6061-T6,1,1.0,
178,163,6061-T6,1,1.0,
180,194,6061-T6,1,1.0,
183,196,6061-T6,1,1.0,
184,197,6061-T6,1,1.0,
185,57,SS 304,0,1.0,
186,57,SS 316,0,1.0,
187,57,6061-T6,0,0.33,
188,85,SS 304,0,1.0,
189,85,SS 316,0,1.0,
191,33,A36,1,1.0,
192,8,SS 316,0,1.0,
193,69,SS316,0,1.0,
194,44,SS 304,0,1.0,
195,44,SS 316,0,1.0,
196,57,3003,0,0.33,
197,97,SS 304,0,1.0,
198,97,SS 316,0,1.0,
204,187,A325N_TC,0,1.0,
213,129,A36,0,1.0,
214,129,6061-T6,0,0.33,
216,199,A496,0,1.0,
218,129,SS 304,0,1.0,
219,129,SS 316,0,1.0,
221,200,A36,1,1.0,
222,200,6061-T6,0,0.33,
229,134,SS 304,0,1.0,
230,185,SS 304,0,1.0,
236,187,A325N_GALV,0,1.0,
244,100,304 SS,0,1.0,
245,100,316 SS,0,1.0,
246,100,ZINC,1,1.0,
247,100,GALV,0,1.0,
248,78,SS316,0,1.0,
253,187,A325N_TC_GALV,0,1.0,
257,78,SS304,0,1.0,
259,151,A572-50,0,1.0,
263,33,SS 304,0,1.02,
267,186,SS 316,0,1.0,
268,169,6061-T6,1,1.0,
269,204,6061-T6,1,1.0,
270,205,6061-T6,1,1.0,
271,151,SS 316,0,1.0,
273,206,SS 304,1,1.0,
277,208,SS304,0,1.0,
278,197,6063-T6,0,1.0,
279,196,6063-T6,0,1.0,
280,57,5052-H32,0,0.33,
283,57,A514-T1,0,1.0,
284,134,SS 316,0,1.0,
285,185,SS 316,0,1.0,
287,209,A108,1,1.0,
292,129,A786,1,1.0,
293,33,SS 316,0,1.03,
298,202,A36,1,1.0,
300,55,A1011-CS TYPE B,1,1.0,
301,33,1018 (CR),0,1.0,
302,44,1045 (CR),0,1.0,
303,187,A490,0,1.0,
305,69,A563_GALV,0,1.0,
306,8,F436_GALV,0,1.0,
307,91,A572-50,1,1.0,
308,79,A529-50,0,1.0,
309,186,A53 (DO NOT USE UNLESS TESTED PIPE),0,1.0,
312,133,A36,1,1.0,
315,187,A490_TC,0,1.0,
320,185,A500-GR.C,0,1.0,
324,4,C1008/C1010,1,1.0,
328,151,F1554-105,0,1.0,
329,4,SS304,0,1.0,
330,4,SS316,0,1.0,
334,215,A36,1,1.0,
335,215,SS 304,0,1.02,
336,215,SS 316,0,1.0,
337,215,GALV,0,1.0,
344,9,SS 304 DO NOT USE,0,1.0,
345,9,SS 316 DO NOT USE,0,1.0,
347,38,A992,1,1.0,
348,38,SS 304,0,1.0,
349,38,SS 316,0,1.0,
350,133,SS 304,0,1.0,
353,52,STD RED OXIDE,0,1.0,
356,2,A36,1,1.0,
359,78,A307 GALV,0,1.0,
360,187,A325N-DTI,0,1.0,
364,218,ZINC,1,1.0,
366,220,ZINC,1,1.0,
367,220,GALV,0,1.0,
368,221,SS304,0,1.0,
369,221,SS316,0,1.0,
370,221,ZINC,1,1.0,
372,220,SS 304,0,1.0,
373,218,SS 304,0,1.0,
374,218,FL-HD-ZINC,0,1.0,
375,218,FL-HD-SS304,0,1.0,
376,218,RD-HD-ZINC,0,1.0,
377,78,SS_SLEEVE_ANC,0,1.0,
380,44,F1554-36,0,1.0,
395,57,A709-36,0,1.0,
401,8,SLEEVE,0,1.0,
404,211,EPOXY (GENERIC),1,1.0,
405,8,A496,0,1.0,
408,41,A706-GR 60,1,1.0,
409,44,F1554-55-S1,0,1.0,
411,186,A500-GR.C,0,1.0,
412,186,SS 304,0,1.02,
414,199,A706,0,1.0,
416,187,A490N_TC-DTI,0,1.0,
417,190,A500-GR.C,0,1.0,
419,197,6063-T5,0,1.0,
431,41,SS 316,0,1.0,
432,41,SS 304,0,1.0,
436,200,6061-T6 ALUMINUM,0,1.0,
438,135,,0,1.0,
440,135,TEFLON PAD,0,1.0,
441,57,TEFLON PAD,0,1.0,
443,226,F1554-36,1,1.0,
445,135,THREADED ROD,0,1.0,
446,227,5,0,1.0,
447,227,8,0,1.0,
448,44,F1554-105,0,1.0,
449,214,A53,1,1.0,
450,214,A36,0,1.0,
451,214,SS 304,0,1.0,
452,69,HV_HEX_JAM,0,1.0,
454,135,NEOPRENE,0,1.0,
455,44,F1554-55,0,1.0,
456,69,HEX_JAM,0,1.0,
458,135,A108,0,1.0,
459,135,-,0,1.0,
460,151,F1554-36,0,1.0,
463,187,SELF TAPPING SCR,0,1.0,
464,135,A992,0,1.0,
466,135,A500-GR.B,0,1.0,
470,190,A513 DOM,0,1.0,
473,185,A847,0,1.0,
474,85,A588-50,0,1.0,
482,33,1045 (CR),0,1.0,
483,221,GALV,0,1.0,
484,232,SS304,0,1.0,
485,232,SS316,0,1.0,
486,232,ZINC,1,1.0,
487,222,A36,1,1.0,
489,222,SS304,0,1.0,
490,222,SS316,0,1.0,
491,151,A36-GALV,0,1.0,
493,135,STEEL_UNDEFINED,0,1.0,
494,197,6061-T6 ALUMINUM,0,1.0,
495,52,1 Gallon Pail,1,1.0,
496,52,5 Gallon Kit,0,1.0,
497,52,5 Gallon Pail,0,1.0,
498,52,4 Gallon Kit,0,1.0,
499,52,10 Gallon Kit,0,1.0,
500,135,6061-T6,0,1.0,
501,135,SS 304,0,1.0,
502,57,A572-GR 50 (DO NOT USE),0,1.0,
504,186,A106 SEAMLESS,0,1.0,
515,190,SS 304,0,1.0,
521,135,1018 (CR),0,1.0,
527,52,No Grade,0,1.0,
567,52,2 Gallon Kit,0,1.0,
568,52,Aerosol (12/pk),0,1.0,
569,52,55 Gallon Drum,0,1.0,
570,57,AR 400,0,1.0,
573,187,F1852N,0,1.0,
577,77,A588-50,0,1.0,
578,135,U_CHANNEL,0,1.0,
580,44,6061-T6 ALUMINUM,0,1.0,
584,226,F1554-55,0,1.0,
589,20,A992,1,1.0,
592,127,ASCE,1,1.0,
594,135,GRADE,0,1.0,
598,52,3 GALLON KIT,0,1.0,
600,41,A615-60,0,1.0,
603,239,C1008/C1010,1,1.0,
604,239,A108,0,1.0,
605,239,SS304,0,1.0,
606,239,SS316,0,1.0,
608,187,THREADED ROD,0,1.0,
609,44,1045 HR,0,1.0,
610,44,1045 CHROME,0,1.0,
613,8,A325-DTI,0,1.0,
614,186,A53,0,1.0,
615,57,G90-GALV,0,1.0,
619,44,4340 QT,0,1.0,
622,97,U_CHANNEL,0,1.0,
626,69,SS 316,0,1.0,
633,129,3003,0,0.33,
634,210,6005A-T61,1,1.0,
635,185,A500-B/C,1,1.0,
636,135,SS 316,0,1.0,
637,190,A500-B/C,1,1.0,
638,77,SS 304,0,1.0,
639,57,AR 235,0,1.0,
643,21,304 SS,0,1.0,
644,97,A572-55,0,1.0,
645,57,A572-55,0,1.0,
646,57,A572-GR 50,0,1.0,
649,8,CONICAL,0,1.0,
650,186,A36,0,1.0,
652,3,A36,0,1.0,
654,210,6005A-T1,0,1.0,
658,199,A1064-18,1,1.0,
659,52,1 QUART,0,1.0,
665,57,U_CHANNEL,0,1.0,
667,244,ZINC,1,1.0,
668,244,SS304,0,1.0,
669,244,SS316,0,1.0,
670,245,ZINC,1,1.0,
671,57,MANGANESE,0,1.0,
672,222,GALV,0,1.0,
677,247,ZINC,1,1.0,
678,247,GALV,0,1.0,
679,247,SS316,0,1.0,
689,187,A325N_TC-DTI,0,1.0,
691,127,A759,0,1.0,
692,91,A992,0,1.0,
693,190,SS 316,0,1.0,
694,192,SS 304,1,1.0,
695,186,A500-B/C,1,1.0,
697,208,A36,1,1.0,
699,9,A913-GR65,0,1.0,
700,239,A992,0,1.0,
701,135,F436,0,1.0,
702,187,F1852SC,0,1.0,
703,187,F2280SC,0,1.0,
704,185,A992,0,1.0,
707,200,FRP,0,1.0,
709,134,A588,0,1.0,
710,57,A500-GR.B,0,1.0,
711,250,A36,1,1.0,
713,250,SS304,0,1.0,
715,190,A992,0,1.0,
718,52,2.75 GALLON KIT,0,1.0,
720,57,Concrete_Undefined,0,1.0,
721,52,35 GALLON DRUM,0,1.0,
722,52,7 GALLON,0,1.0,
725,85,6061-T6 ALUMINUM,0,1.0,
726,77,SS 316,0,1.0,
727,3,A572-50,0,1.0,
728,44,A572-50,0,1.0,
734,200,SS 316,0,1.0,
735,200,SS 304,0,1.0,
736,223,SS 316,0,1.0,
737,223,SS 304,0,1.0,
738,190,A53,0,1.0,
739,72,D4014,0,1.0,
747,187,F2280,0,1.0,
748,187,HILTI HAS E55,0,1.0,
749,57,Zero_Density,0,1.0,
750,44,Zero_Density,0,1.0,
751,85,Zero_Density,0,1.0,
753,187,HILTI KB3,0,1.0,
756,187,HILTI HIT HY 270,0,1.0,
757,187,HILTI KB 3 (GALV),0,1.0,
758,57,A304,0,1.0,
759,9,Zero_Density,0,1.0,
760,135,--,0,1.0,
761,2, ,0,1.0,
762,135,304SS,0,1.0,
764,187,HILTI KB TZ,0,1.0,
766,186,304SS,0,1.0,
767,57,304SS,0,1.0,
769,186,A304,0,1.0,
771,187,F1852 GALV,0,1.0,
773,187,HILTI HIT HY270,0,1.0,
774,135,A304,0,1.0,
775,41,A706-60,0,1.0,
776,200,GRTS_(11W4) 1_1/2 X 3,0,1.0,
777,200,GRTS_(19W4) 1_1/2 X 3,0,1.0,
778,151,SS 304 USA,0,1.0,
779,151,SS 316 USA,0,1.0,
780,254,,1,1.0,
781,200,GRTS_1_1/4,0,1.0,
782,187,A490N-DTI,0,1.0,
792,52,AEROSOL (SINGLE),0,1.0,
793,151,F1554-55,0,1.0,
794,57,A572,0,1.0,
795,239,A572,0,1.0,
796,78,SS304 USA,0,1.0,
797,78,SS316 USA,0,1.0,
798,69,SS316 USA,0,1.0,
800,57,GR80,0,1.0,
801,239,A706,0,1.0,
802,187,A325N - TYPE 3,0,1.0,
803,187,A325N-DTI_GALV,0,1.0,
806,211,HY-200,0,1.0,
807,211,HY-270,0,1.0,
808,211,RE-500,0,1.0,
809,78,ASTM F1852,0,1.0,
810,57,UHMD,0,1.0,
811,57,GROUT,0,1.0,
812,85,SS 304L,0,1.0,
813,199,SS 316,0,1.0,
814,57,SS 316L,0,1.0,
815,57,GRTS_1_1/2,0,1.0,
816,97,4140,0,1.0,
818,250,SS 316,0,1.0,
820,57,GR50,0,1.0,
821,44,A706,0,1.0,
822,44,A108,0,1.0,
